a_median,a_pct10,a_pct90,h_median,h_pct10,h_pct90,occ_code,occ_title,tot_emp,year,job,state,monthly rent,monthly mortgage
44210,25950,83740,21.26,12.48,40.26,13-2081,"Tax examiners, collectors, and revenue agents",72290,2005,Tax Examiners,North Dakota,124.1524976,235.2002257
44210,25950,83740,21.26,12.48,40.26,13-2081,"Tax examiners, collectors, and revenue agents",72290,2005,Tax Examiners,Ohio,151.2352454,364.6549617
44210,25950,83740,21.26,12.48,40.26,13-2081,"Tax examiners, collectors, and revenue agents",72290,2005,Tax Examiners,Oklahoma,130.9976562,251.3194736
44210,25950,83740,21.26,12.48,40.26,13-2081,"Tax examiners, collectors, and revenue agents",72290,2005,Tax Examiners,Oregon,226.5156726,417.3573141
44210,25950,83740,21.26,12.48,40.26,13-2081,"Tax examiners, collectors, and revenue agents",72290,2005,Tax Examiners,Pennsylvania,153.0672322,357.2342504
44210,25950,83740,21.26,12.48,40.26,13-2081,"Tax examiners, collectors, and revenue agents",72290,2005,Tax Examiners,Rhode Island,244.1023484,475.9703832
44210,25950,83740,21.26,12.48,40.26,13-2081,"Tax examiners, collectors, and revenue agents",72290,2005,Tax Examiners,South Carolina,143.5298988,305.8840373
44210,25950,83740,21.26,12.48,40.26,13-2081,"Tax examiners, collectors, and revenue agents",72290,2005,Tax Examiners,South Dakota,112.4289558,262.0106611
44210,25950,83740,21.26,12.48,40.26,13-2081,"Tax examiners, collectors, and revenue agents",72290,2005,Tax Examiners,Tennessee,139.1449164,319.8344449
44210,25950,83740,21.26,12.48,40.26,13-2081,"Tax examiners, collectors, and revenue agents",72290,2005,Tax Examiners,Texas,195.8577886,336.3517471
44210,25950,83740,21.26,12.48,40.26,13-2081,"Tax examiners, collectors, and revenue agents",72290,2005,Tax Examiners,Utah,174.511713,471.5010188
44210,25950,83740,21.26,12.48,40.26,13-2081,"Tax examiners, collectors, and revenue agents",72290,2005,Tax Examiners,Vermont,150.8106478,317.8416387
44210,25950,83740,21.26,12.48,40.26,13-2081,"Tax examiners, collectors, and revenue agents",72290,2005,Tax Examiners,Virginia,221.5173315,561.4465076
44210,25950,83740,21.26,12.48,40.26,13-2081,"Tax examiners, collectors, and revenue agents",72290,2005,Tax Examiners,Washington,239.8669022,509.5437223
44210,25950,83740,21.26,12.48,40.26,13-2081,"Tax examiners, collectors, and revenue agents",72290,2005,Tax Examiners,West Virginia,76.31391467,195.411091
44210,25950,83740,21.26,12.48,40.26,13-2081,"Tax examiners, collectors, and revenue agents",72290,2005,Tax Examiners,Wisconsin,157.1701681,375.9728821
44210,25950,83740,21.26,12.48,40.26,13-2081,"Tax examiners, collectors, and revenue agents",72290,2005,Tax Examiners,Wyoming,122.1068284,290.1092652
41120,26130,60880,19.77,12.56,29.27,21-1022,Medical and public health social workers,112220,2005,Social Workers,Alabama,111.0892519,267.3391663
41120,26130,60880,19.77,12.56,29.27,21-1022,Medical and public health social workers,112220,2005,Social Workers,Alaska,244.5242588,458.8508614
41120,26130,60880,19.77,12.56,29.27,21-1022,Medical and public health social workers,112220,2005,Social Workers,Arizona,194.7916067,420.6199523
41120,26130,60880,19.77,12.56,29.27,21-1022,Medical and public health social workers,112220,2005,Social Workers,Arkansas,114.3899552,226.4274307
41120,26130,60880,19.77,12.56,29.27,21-1022,Medical and public health social workers,112220,2005,Social Workers,California,385.2692788,642.379108
41120,26130,60880,19.77,12.56,29.27,21-1022,Medical and public health social workers,112220,2005,Social Workers,Colorado,219.8878622,552.6663813
41120,26130,60880,19.77,12.56,29.27,21-1022,Medical and public health social workers,112220,2005,Social Workers,Connecticut,225.6301148,654.1098603
41120,26130,60880,19.77,12.56,29.27,21-1022,Medical and public health social workers,112220,2005,Social Workers,Delaware,172.4070036,414.4066997
41120,26130,60880,19.77,12.56,29.27,21-1022,Medical and public health social workers,112220,2005,Social Workers,District of Columbia,462.2194047,421.2349083
41120,26130,60880,19.77,12.56,29.27,21-1022,Medical and public health social workers,112220,2005,Social Workers,Florida,205.6823424,396.8712982
41120,26130,60880,19.77,12.56,29.27,21-1022,Medical and public health social workers,112220,2005,Social Workers,Georgia,188.7291087,414.2821412
41120,26130,60880,19.77,12.56,29.27,21-1022,Medical and public health social workers,112220,2005,Social Workers,Hawaii,348.036211,523.7216651
41120,26130,60880,19.77,12.56,29.27,21-1022,Medical and public health social workers,112220,2005,Social Workers,Idaho,137.5290755,369.8252087
41120,26130,60880,19.77,12.56,29.27,21-1022,Medical and public health social workers,112220,2005,Social Workers,Illinois,196.5915163,489.0426312
41120,26130,60880,19.77,12.56,29.27,21-1022,Medical and public health social workers,112220,2005,Social Workers,Indiana,141.5059493,350.3242564
41120,26130,60880,19.77,12.56,29.27,21-1022,Medical and public health social workers,112220,2005,Social Workers,Iowa,120.0724922,304.3595528
41120,26130,60880,19.77,12.56,29.27,21-1022,Medical and public health social workers,112220,2005,Social Workers,Kansas,145.584708,342.4691756
41120,26130,60880,19.77,12.56,29.27,21-1022,Medical and public health social workers,112220,2005,Social Workers,Kentucky,113.8319335,283.1820172
41120,26130,60880,19.77,12.56,29.27,21-1022,Medical and public health social workers,112220,2005,Social Workers,Louisiana,126.1349264,253.8938749
41120,26130,60880,19.77,12.56,29.27,21-1022,Medical and public health social workers,112220,2005,Social Workers,Maine,129.5054539,284.8245746
41120,26130,60880,19.77,12.56,29.27,21-1022,Medical and public health social workers,112220,2005,Social Workers,Maryland,242.0786214,636.5086426
41120,26130,60880,19.77,12.56,29.27,21-1022,Medical and public health social workers,112220,2005,Social Workers,Massachusetts,285.8527399,580.8829423
41120,26130,60880,19.77,12.56,29.27,21-1022,Medical and public health social workers,112220,2005,Social Workers,Michigan,139.8788102,407.4123917
41120,26130,60880,19.77,12.56,29.27,21-1022,Medical and public health social workers,112220,2005,Social Workers,Minnesota,155.0544967,518.6016242
41120,26130,60880,19.77,12.56,29.27,21-1022,Medical and public health social workers,112220,2005,Social Workers,Mississippi,105.7812676,232.363676
41120,26130,60880,19.77,12.56,29.27,21-1022,Medical and public health social workers,112220,2005,Social Workers,Missouri,131.7423112,336.9607319
41120,26130,60880,19.77,12.56,29.27,21-1022,Medical and public health social workers,112220,2005,Social Workers,Montana,131.7908258,275.5119019
41120,26130,60880,19.77,12.56,29.27,21-1022,Medical and public health social workers,112220,2005,Social Workers,Nebraska,144.2831864,327.1670908
41120,26130,60880,19.77,12.56,29.27,21-1022,Medical and public health social workers,112220,2005,Social Workers,Nevada,286.8578391,514.3074548
41120,26130,60880,19.77,12.56,29.27,21-1022,Medical and public health social workers,112220,2005,Social Workers,New Hampshire,186.1365135,490.2785333
41120,26130,60880,19.77,12.56,29.27,21-1022,Medical and public health social workers,112220,2005,Social Workers,New Jersey,273.7429557,662.8223083
41120,26130,60880,19.77,12.56,29.27,21-1022,Medical and public health social workers,112220,2005,Social Workers,New Mexico,144.1694958,305.1349616
41120,26130,60880,19.77,12.56,29.27,21-1022,Medical and public health social workers,112220,2005,Social Workers,New York,346.1386742,429.3132824
41120,26130,60880,19.77,12.56,29.27,21-1022,Medical and public health social workers,112220,2005,Social Workers,North Carolina,155.0519406,337.397214
41120,26130,60880,19.77,12.56,29.27,21-1022,Medical and public health social workers,112220,2005,Social Workers,North Dakota,124.1524976,235.2002257
41120,26130,60880,19.77,12.56,29.27,21-1022,Medical and public health social workers,112220,2005,Social Workers,Ohio,151.2352454,364.6549617
41120,26130,60880,19.77,12.56,29.27,21-1022,Medical and public health social workers,112220,2005,Social Workers,Oklahoma,130.9976562,251.3194736
41120,26130,60880,19.77,12.56,29.27,21-1022,Medical and public health social workers,112220,2005,Social Workers,Oregon,226.5156726,417.3573141
41120,26130,60880,19.77,12.56,29.27,21-1022,Medical and public health social workers,112220,2005,Social Workers,Pennsylvania,153.0672322,357.2342504
41120,26130,60880,19.77,12.56,29.27,21-1022,Medical and public health social workers,112220,2005,Social Workers,Rhode Island,244.1023484,475.9703832
41120,26130,60880,19.77,12.56,29.27,21-1022,Medical and public health social workers,112220,2005,Social Workers,South Carolina,143.5298988,305.8840373
41120,26130,60880,19.77,12.56,29.27,21-1022,Medical and public health social workers,112220,2005,Social Workers,South Dakota,112.4289558,262.0106611
41120,26130,60880,19.77,12.56,29.27,21-1022,Medical and public health social workers,112220,2005,Social Workers,Tennessee,139.1449164,319.8344449
41120,26130,60880,19.77,12.56,29.27,21-1022,Medical and public health social workers,112220,2005,Social Workers,Texas,195.8577886,336.3517471
41120,26130,60880,19.77,12.56,29.27,21-1022,Medical and public health social workers,112220,2005,Social Workers,Utah,174.511713,471.5010188
41120,26130,60880,19.77,12.56,29.27,21-1022,Medical and public health social workers,112220,2005,Social Workers,Vermont,150.8106478,317.8416387
