CONAME,DIST,DISTNAME,salary_2018,salary_2017,salary_2016
Monmouth,3810,Ocean Township,"$69,865 ","$67,365","$65,010"
Passaic,3970,Passaic City,"$69,861 ","$69,298","$64,923"
Bergen,1380,Englewood Cliffs Borough,"$69,740 ","$69,165","$70,950"
Atlantic,1310,Egg Harbor Township,"$69,688 ","$64,142","$65,142"
Bergen,2710,Little Ferry Borough,"$69,606 ","$66,872","$69,112"
Gloucester,3490,National Park Borough,"$69,561 ","$73,064","$66,178"
Sussex,5040,Stillwater Township,"$69,533 ","$67,774","$63,255"
Hudson,2295,Hudson County Vocational,"$69,486 ","$70,707","$64,257"
Bergen,1580,Franklin Lakes Borough,"$69,384 ","$69,384","$69,022"
Burlington,1520,Florence Township,"$69,366 ","$67,071","$66,716"
Burlington,3440,Mount Laurel Township,"$69,350 ","$71,590","$71,590"
Camden,1780,Gloucester Township,"$69,330 ","$67,505","$66,475"
Burlington,3650,North Hanover Township,"$69,225 ","$62,613","$63,481"
Hunterdon,20,Alexandria Township,"$69,219 ","$72,298","$70,137"
Monmouth,4980,Spring Lake Borough,"$69,208 ","$67,745","$66,485"
Monmouth,3260,Monmouth Co Vocational,"$69,110 ","$68,720","$67,460"
Ocean,2550,Lavallette Borough,"$69,058 ","$66,766","$64,073"
Somerset,4810,Somerset Co Vocational,"$69,028 ","$66,794","$63,829"
Hudson,3610,North Bergen Township,"$68,900 ","$71,970","$71,100"
Burlington,4450,Riverside Township,"$68,840 ","$65,165","$65,540"
Ocean,3790,Ocean County Vocational,"$68,781 ","$67,098","$65,333"
Burlington,620,Burlington Township,"$68,735 ","$61,638","$63,392"
Bergen,1550,Fort Lee Borough,"$68,730 ","$69,230","$70,280"
Sussex,1930,Hamburg Borough,"$68,650 ","$66,290","$65,088"
Warren,5450,Warren Co Special Service,"$68,600 ","$66,468","$66,468"
Atlantic,2680,Linwood City,"$68,406 ","$69,900","$66,108"
Ocean,530,Brick Township,"$68,405 ","$66,370","$66,160"
Bergen,5410,Waldwick Borough,"$68,383 ","$67,805","$68,370"
Salem,60,Alloway Township,"$68,349 ","$65,085","$65,460"
Morris,5520,Washington Township,"$68,325 ","$68,440","$62,630"
Union,4550,Roselle Park Borough,"$68,301 ","$67,538","$64,717"
Middlesex,1170,East Brunswick Township,"$68,255 ","$68,159","$67,458"
Morris,4490,Rockaway Township,"$68,253 ","$66,392","$65,095"
Cumberland,2570,Lawrence Township,"$68,245 ","$66,184","$65,266"
Hunterdon,2300,Hunterdon Central Reg,"$68,230 ","$63,030","$64,070"
Hunterdon,910,Clinton-Glen Gardner,"$68,200 ","$66,177","$64,592"
Camden,390,Black Horse Pike Regional,"$68,188 ","$64,666","$57,057"
Bergen,3350,Moonachie Borough,"$68,105 ","$58,240","$56,905"
Camden,680,Camden City,"$68,103 ","$64,603","$61,603"
Morris,630,Butler Borough,"$68,082 ","$66,219","$66,906"
Essex,660,Caldwell-West Caldwell,"$68,081 ","$68,021","$64,956"
Warren,5480,Washington Borough,"$68,055 ","$65,191","$60,890"
Hunterdon,1050,Delaware Valley Regional,"$68,045 ","$67,180","$63,070"
Ocean,4710,Seaside Heights Borough,"$67,901 ","$69,302","$66,704"
Somerset,350,Bernards Township,"$67,898 ","$67,075","$64,690"
Hunterdon,1376,South Hunterdon,"$67,865 ","$65,565","$61,854"
Gloucester,870,Clearview Regional,"$67,800 ","$65,300","$60,625"
Burlington,605,Burlington Co Spec Serv,"$67,792 ","$69,389","$70,162"
Camden,940,Collingswood Borough,"$67,750 ","$66,000","$64,750"
Bergen,3930,Paramus Borough,"$67,750 ","$66,300","$65,500"
Union,5090,Summit City,"$67,621 ","$65,721","$65,603"
Essex,1390,Essex Co Voc-Tech,"$67,604 ","$67,378","$65,854"
Morris,785,Sch Dist Of The Chathams,"$67,564 ","$64,140","$64,310"
Monmouth,4580,Rumson-Fair Haven Reg,"$67,510 ","$68,575","$63,780"
Cape May,715,Cape May Co Special Serv,"$67,355 ","$75,698","$79,996"
Morris,450,Boonton Town,"$67,303 ","$68,429","$66,477"
Middlesex,4910,South Plainfield Borough,"$67,285 ","$65,285","$63,282"
Essex,1465,Fairfield Township,"$67,277 ","$62,083","$62,083"
Middlesex,4090,Perth Amboy City,"$67,200 ","$68,300","$62,000"
Passaic,4270,Prospect Park Borough,"$67,194 ","$69,100","$65,100"
Passaic,5690,Woodland Park,"$67,120 ","$62,645","$63,020"
Union,4670,Scotch Plains-Fanwood Reg,"$67,072 ","$65,051","$62,807"
Somerset,510,Branchburg Township,"$67,049 ","$62,795","$63,445"
Sussex,90,Andover Reg,"$67,039 ","$67,039","$65,632"
Essex,6109,Lead Charter School,"$67,000 ",,
Burlington,475,Bordentown Regional,"$66,930 ","$61,478","$61,507"
Sussex,1560,Frankford Township,"$66,901 ","$65,185","$68,580"
Monmouth,3270,Monmouth Regional,"$66,900 ","$66,300","$65,400"
Sussex,3590,Newton Town,"$66,865 ","$66,683","$64,030"
Morris,2000,Hanover Township,"$66,836 ","$67,206","$67,594"
Bergen,2090,Haworth Borough,"$66,834 ","$72,826","$77,624"
