,state,monthly rent,monthly mortgage
549,Oklahoma,223.5760741,300.7823543
550,Oregon,367.5413504,485.28146150000003
551,Pennsylvania,251.2121684,405.09306160000006
552,Rhode Island,349.981565,464.57055589999993
553,South Carolina,216.58230919999997,334.14126519999996
554,South Dakota,201.5428149,349.8833798
555,Tennessee,247.38732459999997,336.5708412
556,Texas,340.60841919999996,388.1707054
557,Utah,264.3406229,542.383282
558,Vermont,209.56590569999997,385.3831625
559,Virginia,369.64328900000004,610.6398985000001
560,Washington,410.3870805,587.2577241
561,West Virginia,140.7285967,216.294033
562,Wisconsin,235.7937989,376.54369610000003
563,Wyoming,213.2635344,372.57738939999996
564,Alabama,185.62578269999997,293.5104691
565,Alaska,345.18554869999997,469.4396534
566,Arizona,309.9469376,395.09041460000003
567,Arkansas,201.5730967,249.13458430000003
568,California,632.1757938999999,645.9516027000001
569,Colorado,388.81313900000004,589.5266987000001
570,Connecticut,346.57268389999996,673.6790771000001
571,Delaware,243.9699991,443.3247041999999
572,District of Columbia,806.7950248,547.7672066
573,Florida,328.6360892,353.685854
574,Georgia,312.8268316,397.65126660000004
575,Hawaii,565.1984953,611.2115755
576,Idaho,212.83612769999996,397.271517
577,Illinois,309.4841863,479.40442879999995
578,Indiana,217.43208149999998,340.3205309
579,Iowa,192.7995219,372.3812441
580,Kansas,250.5269003,363.34238930000004
581,Kentucky,205.5759262,302.0668435
582,Louisiana,228.8620918,298.2764818
583,Maine,147.71361240000002,333.1037185
584,Maryland,398.4288645,716.9577155000001
585,Massachusetts,431.00843539999994,652.6355635
586,Michigan,209.2851014,344.93994910000004
587,Minnesota,248.8657647,519.7379716
588,Mississippi,174.9257354,249.0594267
589,Missouri,224.8581555,347.7338305
590,Montana,202.8204926,370.27276800000004
591,Nebraska,249.49196809999998,376.34765130000005
592,Nevada,414.9338771,395.4767855
593,New Hampshire,279.3132195,541.3080699
594,New Jersey,419.81959739999996,725.2281468
595,New Mexico,214.774104,303.637344
596,New York,529.2045535,475.1568317
597,North Carolina,256.3797397,365.5058966
598,North Dakota,238.00998419999996,303.8954537
599,Ohio,239.9919344,351.39196810000004
600,Oklahoma,222.2847837,300.7823543
601,Oregon,372.62667830000004,485.28146150000003
602,Pennsylvania,252.2146113,405.09306160000006
603,Rhode Island,320.5576702,464.57055589999993
604,South Carolina,219.1141574,334.14126519999996
605,South Dakota,204.7685267,349.8833798
606,Tennessee,250.4816292,336.5708412
607,Texas,341.29784700000005,388.1707054
608,Utah,267.8168141,542.383282
609,Vermont,224.43958199999997,385.3831625
610,Virginia,358.84776919999996,610.6398985000001
611,Washington,426.595401,587.2577241
612,West Virginia,136.81941630000003,216.294033
613,Wisconsin,246.81051000000002,376.54369610000003
614,Wyoming,195.19180580000003,372.57738939999996
615,Alabama,193.4915504,285.47537860000006
616,Alaska,323.6792607,479.10522310000005
617,Arizona,320.241238,434.7661598
618,Arkansas,205.1282784,261.55018140000004
619,California,656.2416451,697.4906053
620,Colorado,403.561524,639.2420986000001
621,Connecticut,367.7346789,689.1602415
622,Delaware,261.74728430000005,472.843726
623,District of Columbia,830.8521304999999,655.6920198
624,Florida,335.345942,385.1928435
625,Georgia,317.9755417,434.0000828
626,Hawaii,578.5873749,609.2511931
627,Idaho,218.20626529999998,427.6878115
628,Illinois,324.58570519999995,501.7615405
629,Indiana,230.0202233,357.812859
630,Iowa,197.3511615,384.6327272
631,Kansas,254.2858554,383.3604935
632,Kentucky,206.52473380000004,306.4777968
633,Louisiana,234.93287719999998,302.8669528
634,Maine,182.87353330000002,334.2694323
635,Maryland,401.4270079,748.6942796
636,Massachusetts,461.4929618,673.6499345999999
637,Michigan,214.54798689999998,360.0788402
638,Minnesota,259.7982063,538.5944242
639,Mississippi,189.9280363,246.4289665
640,Missouri,234.79556969999996,365.765498
641,Montana,214.40721639999998,379.7743851
642,Nebraska,257.1856485,386.85583030000004
643,Nevada,432.2675199,453.5138285
644,New Hampshire,268.0046292,551.3225999
645,New Jersey,441.3666478999999,741.8774841
646,New Mexico,226.2361179,317.95133119999997
647,New York,559.0175519999999,489.2616706
648,North Carolina,269.44758160000003,382.6928146
649,North Dakota,261.551394,316.1451037
650,Ohio,246.49375550000002,366.48064700000003
651,Oklahoma,232.8222645,308.5887568
652,Oregon,390.6354775,532.4577326
653,Pennsylvania,264.9862309,422.9977813
654,Rhode Island,331.69953730000003,522.013113
655,South Carolina,222.2722833,347.4475379
656,South Dakota,205.4968227,334.7512339
657,Tennessee,250.5069168,357.2309956
658,Texas,358.4828823,415.30409249999997
659,Utah,285.25263019999994,598.9645732999999
660,Vermont,213.87979520000002,377.7885582
661,Virginia,384.7809499,631.3871813999999
662,Washington,460.01870499999995,651.2196008999999
663,West Virginia,140.944456,217.99567439999998
664,Wisconsin,250.22885970000002,392.25282230000005
665,Wyoming,202.69253989999999,404.85404589999996
666,Alabama,195.9092512,302.4468178999999
667,Alaska,323.80231160000005,491.5642813999999
668,Arizona,330.88884989999997,448.201294
669,Arkansas,205.3495237,265.82713140000004
670,California,687.1431568,713.6196179
671,Colorado,418.05145310000006,705.3150433
672,Connecticut,381.2551596,687.9248452
673,Delaware,273.9520443,516.7299691000001
674,District of Columbia,864.1886721000001,694.1324912
675,Florida,345.8712898,404.6191818
676,Georgia,329.57300150000003,453.6142935
677,Hawaii,561.1712579,685.8890698
678,Idaho,225.17671239999999,471.0144759
679,Illinois,330.9214719,516.5366372
680,Indiana,229.8370242,369.2961044
681,Iowa,217.1391851,390.79154520000003
682,Kansas,262.2518949,382.9950933
683,Kentucky,212.4773256,318.68463039999995
684,Louisiana,223.1867406,311.9775369
685,Maine,177.7048141,357.31302969999996
686,Maryland,416.0866892,765.3863717999999
687,Massachusetts,481.05437350000005,707.279734
688,Michigan,220.91950830000002,373.2575876
689,Minnesota,265.060972,556.7536293
690,Mississippi,185.89527180000002,251.6427668
691,Missouri,242.68935640000004,375.9565415
692,Montana,221.43308430000005,422.92848380000004
693,Nebraska,268.4315839,422.07364010000003
694,Nevada,455.7998329,474.9022409
695,New Hampshire,273.26991210000006,585.4943469
696,New Jersey,467.2304659,753.8977318
697,New Mexico,220.7554335,340.33481919999997
698,New York,577.3999391,510.66077520000005
699,North Carolina,273.402657,399.35196080000003
700,North Dakota,280.97718,317.3389758
