Selected Geographies,Gross rent (monthly amount),PUMS Monthly mortgage payment,PUMS Monthly mortgage payment.1
Ohio,,399.28553339999996,399.28553339999996
Oklahoma,,289.8544224,289.8544224
Oregon,,491.724359,491.724359
Pennsylvania,,403.2479355,403.2479355
Rhode Island,,538.4926222,538.4926222
South Carolina,,345.26827599999996,345.26827599999996
South Dakota,,294.20253239999994,294.20253239999994
Tennessee,,356.8948549,356.8948549
Texas,,370.2265829,370.2265829
Utah,,546.4657973999999,546.4657973999999
Vermont,,353.2876309,353.2876309
Virginia,,652.0726422,652.0726422
Washington,,215.6438863,607.0603511
West Virginia,,,215.6438863
Wisconsin,,,412.5603941
Wyoming,,,358.7157759
Alabama,144.88826709999998,267.33916630000004,
Alaska,268.035603,458.8508614,
Arizona,234.4480029,420.6199523,
Arkansas,163.0027747,226.4274307,
California,466.10145199999994,642.379108,
Colorado,255.1615497,552.6663812999999,
Connecticut,284.3752654,654.1098602999999,
Delaware,202.8012149,414.4066997,
District of Columbia,557.7063915,421.23490830000003,
Florida,236.1028787,396.8712982,
Georgia,216.4938139,414.2821412,
Hawaii,439.84869800000007,523.7216651000001,
Idaho,177.3584062,369.82520869999996,
Illinois,233.7065063,489.0426312,
Indiana,165.430279,350.32425639999997,
Iowa,150.91665790000002,304.3595528,
Kansas,184.8379295,342.4691756,
Kentucky,147.5531339,283.18201719999996,
Louisiana,177.5981183,253.8938749,
Maine,149.1281536,284.8245746,
Maryland,298.03229619999996,636.5086426,
Massachusetts,322.29644160000004,580.8829423,
Michigan,159.3550367,407.4123917,
Minnesota,171.6145501,518.6016242,
Mississippi,145.6928948,232.36367599999997,
Missouri,171.9624457,336.9607319,
Montana,176.23461630000003,275.5119019,
Nebraska,171.834567,327.16709080000004,
Nevada,358.87447610000004,514.3074548000001,
New Hampshire,214.6563957,490.27853330000005,
New Jersey,324.9737995,662.8223082999999,
New Mexico,171.56300349999998,305.13496160000005,
New York,414.02609160000003,429.3132824,
North Carolina,185.32325649999999,337.397214,
North Dakota,161.2707736,235.20022569999998,
Ohio,185.84265200000002,364.6549617,
Oklahoma,169.76771440000002,251.3194736,
